,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE,1465_APR22,365_APR22,22312_Q2 21,4173_APR22,425_OCT22,3432_FEB22,3970_APR22,491_MAY22,1887_Q4 21,95_APR22,5740_APR22,2527_SEP21,1886_APR22,1753_APR22,5739_APR22,23416_APR22,5629_APR22,5028_APR22,10_APR22,21774_APR22,19237_APR22,4362_APR22,19327_APR22,1885_APR22,23493_SEP21,2572_APR22,5506_SEP21,19241_APR22,18399_APR22,3190_APR22,15544_APR22,5038_APR22,23612_APR22,3976_APR22,3253_APR22,3563_APR22,25743_APR22,1887_APR22,4075_APR22,4361_APR22,4177_APR22,2571_APR22,5631_APR22,5039_APR22,23414_APR22,4987_AUG21,3558_APR22,2537_SEP21,4178_Q3 21,19082_APR22,18410_APR22,15542_APR22,5500_SEP21,2536_SEP21,2532_SEP21,4360_APR22,3193_APR22,5264_APR22,124_APR22,1743_APR22,4671_APR22,3072_APR22,2529_SEP21,22317_MAR22,4672_APR22,5034_APR22,23607_APR22,3442_APR22,23776_APR22,2466_APR22,20096_APR22,1756_AUG21,13_APR22,1884_APR22,3971_APR22,5509_SEP21,5040_APR22,2533_SEP21,23490_SEP21,5272_APR22,3254_APR22,5729_APR22,19239_APR22,5037_APR22,22311_DEC22,3441_APR22,22_APR22,491_SEP22,2922_APR22,5278_APR22,19474_APR22,19465_APR22,15549_APR22,19087_APR22,18601_APR22,3090_APR22,23789_APR22,21781_APR22,4354_APR22,21766_APR22
0,2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2020-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2020-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2020-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2020-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2020-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2020-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2020-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2020-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2020-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2020-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2020-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2020-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2020-12-04,,,,,,,,,,,,,,,,,,,,,408.39,-1.0,43.81,47.28,,,,438.16,,,45.07,-4.28,,,,-18.5,438.16,1.39,,56.37,,,,425.75,,18.5,0.42,,9.86,,,389.89,,,,,,9.44,-0.6,,,,,,,408.39,,,,,,,455.66,,,31.25,368.62,456.66,-2.2,,,389.89,,,367.67,,,43.63,-0.12,9.86,367.67,456.66,,,,,,,,268.25,,40.95,,,368.69,,66.85,7.58
65,2020-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2020-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2020-12-07,,,,,,,,,,,,,,,,,17.92,43.37,-4.54,,406.27,-1.0,43.54,47.27,,44.98,48.08,441.41,,5.76,45.09,-4.54,,433.91,,-18.5,441.41,1.01,,56.82,,,,424.25,-77.66,18.75,0.42,4.71,10.29,433.91,,387.52,24.0,,449.68,,-7.58,9.9,-0.56,,,,,3.21,-8.39,406.27,56.82,45.09,,1.43,,,458.91,1.43,373.75,31.5,382.04,459.91,-2.43,,44.98,387.52,52.79,,365.31,,,43.37,-0.12,10.29,365.31,459.91,375.75,32.5,248.25,1.46,12.95,,,271.0,,40.69,,,357.49,,66.4,7.25
68,2020-12-08,,,,,,,,,,,,,,,,,15.75,43.74,-4.24,,408.15,-1.0,43.92,47.27,,45.06,48.16,440.91,,5.85,45.16,-4.24,,432.91,,-18.0,440.91,0.68,,56.51,,,,425.5,-73.91,17.25,0.4,4.8,10.08,432.91,,390.9,23.5,,450.68,,-7.62,9.51,-0.73,,,,,3.3,-8.54,408.15,56.51,45.16,,1.44,,,457.91,1.44,376.0,31.5,380.5,458.91,-2.3,,45.06,390.9,52.96,,368.68,,,43.74,-0.12,10.08,368.68,458.91,378.0,32.5,248.25,1.46,12.92,,,271.0,,40.62,,,360.04,,64.03,7.29
69,2020-12-09,,,,,,,,,-2.98,268.75,85.33,247.0,44.73,421.99,51.19,1.45,16.25,43.63,-4.2,,407.67,-1.0,43.81,46.88,,45.03,48.01,437.66,,5.73,45.13,-4.2,,429.66,,-18.0,437.66,0.75,,55.98,,,,423.0,-71.16,17.75,0.35,4.68,9.82,429.66,,389.92,23.0,,448.74,,-7.7,9.13,-0.82,,,,,3.18,-8.5,407.67,55.98,45.13,,1.44,,,454.66,1.44,375.0,31.5,375.55,455.66,-2.2,,45.03,389.92,52.69,,367.7,,,43.63,-0.12,9.82,367.7,455.66,377.0,32.5,247.0,1.46,12.81,,,270.0,,40.76,,,358.39,,63.08,7.21
70,2020-12-10,,,,,,,,,-3.09,273.75,88.0,251.25,45.24,435.49,52.34,1.48,16.0,44.47,-4.1,,414.6,-1.0,44.65,47.55,,45.66,48.75,452.0,,6.14,45.8,-4.1,,443.0,,-18.0,452.0,1.09,,57.84,,,,431.75,-75.75,17.25,0.35,5.09,10.9,442.5,,397.35,23.0,,457.88,,-7.78,10.25,-0.75,,,,,3.59,-8.49,414.6,57.84,45.8,,1.46,,,469.0,1.46,383.75,32.5,385.1,470.0,-2.16,,45.66,397.35,53.84,,375.13,,,44.47,-0.12,10.9,375.13,470.0,384.5,33.5,251.25,1.48,13.21,,,275.0,,41.26,,,367.06,,64.78,7.57
71,2020-12-11,,,,,,,,,-3.1,272.0,89.08,250.5,45.05,429.49,52.2,1.47,15.5,44.22,-4.18,,412.42,-1.0,44.4,47.38,,45.48,48.58,445.25,,6.17,45.61,-4.18,,436.75,,-18.0,445.25,1.27,,57.06,,,,430.0,-72.25,17.25,0.35,5.12,10.21,436.25,,395.17,22.75,,455.97,,-7.72,9.64,-0.7,,,,,3.62,-8.43,412.42,57.06,45.61,,1.45,,,462.25,1.45,380.75,32.0,388.34,463.25,-2.24,,45.48,395.17,53.7,,372.95,,,44.22,-0.12,10.21,372.95,463.25,378.0,33.0,250.5,1.48,13.29,,,273.25,,41.15,,,366.83,,64.8,7.48
72,2020-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2020-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020-12-14,,,,,,,,,-3.19,273.25,89.08,251.0,45.45,427.99,52.54,1.49,15.25,44.63,-4.27,,415.02,-1.0,44.81,47.64,,45.89,49.08,443.5,-0.11,6.01,46.03,-4.27,,435.25,,-18.0,443.5,0.88,-0.08,56.79,-0.05,1.46,8.28,434.25,-68.25,16.25,0.4,4.96,9.49,434.75,,398.77,23.75,,460.57,,-7.79,8.87,-0.76,-0.03,,,,3.46,-8.9,415.02,56.79,46.03,461.32,1.46,,,460.5,1.46,384.25,31.75,391.07,461.5,-2.45,,45.89,398.77,54.04,,376.55,,,44.63,-0.12,9.49,376.55,461.5,381.5,32.75,251.0,1.49,13.32,787.05,0.93,274.5,-0.01,41.18,0.2,0.58,369.51,0.87,65.81,7.53
75,2020-12-15,,,,,,,,,-3.15,274.0,88.92,252.25,45.87,435.99,52.9,1.5,17.5,44.91,-4.37,,419.74,-1.0,45.08,48.04,,46.3,49.45,451.75,-0.1,6.0,46.44,-4.37,,443.0,,-18.0,451.75,0.85,-0.08,57.79,-0.05,1.47,8.42,437.25,-72.5,18.5,0.75,4.95,10.16,442.5,,401.24,21.75,,462.23,,-7.89,9.5,-0.81,-0.03,,,,3.45,-9.1,419.74,57.79,46.44,462.98,1.47,,,468.75,1.47,385.75,32.25,407.92,469.75,-2.29,,46.3,401.24,54.4,,379.02,,,44.91,-0.12,10.16,379.02,469.75,383.0,33.25,252.25,1.51,13.46,788.15,0.95,275.25,-0.01,41.35,0.2,0.58,373.06,0.88,64.99,7.36
76,2020-12-16,,,,,,,,,-3.23,276.5,89.58,255.25,46.07,436.49,53.4,1.51,17.5,45.25,-4.32,,422.59,-1.0,45.43,48.22,,46.52,49.75,452.91,-0.11,6.2,46.67,-4.32,,443.91,,-18.0,452.91,1.1,-0.08,57.99,-0.05,1.47,8.54,440.5,-69.41,18.25,0.75,5.15,10.01,443.66,,404.34,22.75,,466.57,,-7.9,9.45,-0.73,-0.03,,,,3.65,-8.95,422.59,57.99,46.67,467.32,1.48,,,469.91,1.48,390.75,32.5,391.34,470.91,-2.27,,46.52,404.34,54.9,,382.12,,,45.25,-0.12,10.01,382.12,470.91,389.0,33.5,255.25,1.51,13.58,785.07,1.06,277.75,-0.01,41.8,0.2,0.61,374.33,0.88,66.23,7.58
77,2020-12-17,,,,,,,,,-3.19,279.5,90.5,258.0,46.69,442.99,53.87,1.52,17.25,45.9,-4.27,,428.35,-1.0,46.08,48.82,,47.16,50.35,459.25,-0.11,6.07,47.3,-4.27,,450.25,,-18.0,459.25,0.72,-0.08,58.83,-0.06,1.47,8.31,444.25,-70.75,18.25,0.75,5.02,10.22,450.0,,410.1,22.5,,470.59,,-8.06,9.69,-0.74,-0.03,,,,3.52,-9.1,428.35,58.83,47.3,471.34,1.5,,,476.25,1.5,395.5,32.5,395.02,477.25,-2.22,,47.16,410.1,55.37,,387.89,,,45.9,-0.13,10.22,387.89,477.25,393.75,33.5,258.0,1.53,13.56,792.56,1.06,280.75,-0.01,42.25,0.2,0.61,377.83,0.89,64.48,7.47
78,2020-12-18,,,,,,,,,-3.26,284.0,89.5,262.25,47.02,447.99,54.5,1.53,16.92,46.57,-4.03,,434.08,-1.0,46.75,49.25,,47.52,50.78,465.25,-0.12,6.27,47.68,-4.03,,455.25,,-18.0,465.25,0.81,-0.08,59.51,-0.05,1.49,8.63,448.25,-72.25,18.0,0.78,5.22,10.55,455.0,,416.08,22.75,,475.82,,-7.81,9.94,-0.73,-0.03,,,,3.72,-8.91,434.08,59.51,47.68,476.57,1.51,,,482.25,1.51,399.25,33.5,401.68,483.25,-2.01,,47.52,416.08,56.0,,393.86,,,46.57,-0.12,10.55,393.86,483.25,397.5,34.5,262.25,1.54,13.67,795.65,1.08,285.25,-0.01,42.86,0.2,0.61,382.47,0.88,63.74,7.66
79,2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2020-12-21,,,,,,,,,-3.24,278.0,86.83,255.75,46.23,432.65,53.07,1.51,15.75,45.42,-4.31,,423.28,-1.0,45.59,48.36,,46.66,49.9,448.75,-0.11,5.72,46.79,-4.31,,440.25,,-18.0,448.75,0.27,-0.08,57.22,-0.05,1.49,8.36,439.75,-69.0,17.5,0.55,4.67,9.33,440.0,,405.78,16.75,,465.68,,-8.03,8.53,-1.0,-0.03,,,,3.17,-9.15,423.28,57.22,46.79,466.18,1.49,,,465.75,1.49,381.5,32.0,398.34,466.75,-2.34,,46.66,405.78,54.57,,383.56,,,45.42,-0.12,9.33,383.56,466.75,379.75,33.0,255.75,1.52,13.4,794.55,1.03,279.25,-0.01,41.75,0.2,0.61,372.67,0.89,63.9,7.33
