,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE,1465_APR22,365_APR22,22312_Q2 21,4173_APR22,425_OCT22,3432_FEB22,3970_APR22,491_MAY22,1887_Q4 21,95_APR22,5740_APR22,2527_SEP21,1886_APR22,1753_APR22,5739_APR22,23416_APR22,5629_APR22,5028_APR22,10_APR22,21774_APR22,19237_APR22,4362_APR22,19327_APR22,1885_APR22,23493_SEP21,2572_APR22,5506_SEP21,19241_APR22,18399_APR22,3190_APR22,15544_APR22,5038_APR22,23612_APR22,3976_APR22,3253_APR22,3563_APR22,25743_APR22,1887_APR22,4075_APR22,4361_APR22,4177_APR22,2571_APR22,5631_APR22,5039_APR22,23414_APR22,4987_AUG21,3558_APR22,2537_SEP21,4178_Q3 21,19082_APR22,18410_APR22,15542_APR22,5500_SEP21,2536_SEP21,2532_SEP21,4360_APR22,3193_APR22,5264_APR22,124_APR22,1743_APR22,4671_APR22,3072_APR22,2529_SEP21,22317_MAR22,4672_APR22,5034_APR22,23607_APR22,3442_APR22,23776_APR22,2466_APR22,20096_APR22,1756_AUG21,13_APR22,1884_APR22,3971_APR22,5509_SEP21,5040_APR22,2533_SEP21,23490_SEP21,5272_APR22,3254_APR22,5729_APR22,19239_APR22,5037_APR22,22311_DEC22,3441_APR22,22_APR22,491_SEP22,2922_APR22,5278_APR22,19474_APR22,19465_APR22,15549_APR22,19087_APR22,18601_APR22,3090_APR22,23789_APR22,21781_APR22,4354_APR22,21766_APR22
82,2020-12-22,,,,,,,,,-3.28,273.0,86.83,251.0,45.62,435.65,52.54,1.5,17.25,44.62,-4.48,,416.69,-1.0,44.8,47.62,,46.0,49.28,452.41,-0.1,5.81,46.12,-4.48,,443.41,,-18.0,452.41,0.16,-0.08,57.56,-0.05,1.48,8.47,434.0,-79.41,18.0,0.46,4.76,10.42,443.16,,398.69,23.0,,460.95,,-8.18,9.49,-1.09,-0.03,,,,3.26,-9.24,416.69,57.56,46.12,461.45,1.47,,,469.41,1.47,380.5,32.5,395.44,470.41,-2.46,,46.0,398.69,54.04,,376.48,,,44.62,-0.12,10.42,376.48,470.41,378.0,33.5,251.0,1.51,13.51,797.85,1.04,274.0,-0.01,41.04,0.2,0.61,360.1,0.9,66.25,7.38
83,2020-12-23,,,,,,,,,-3.25,280.0,89.25,258.25,46.43,441.74,53.85,1.52,17.25,45.73,-4.19,,427.06,-1.0,45.91,48.4,,46.85,50.1,458.5,-0.11,6.3,46.99,-4.19,,449.25,,-18.0,458.5,0.62,-0.08,58.38,-0.05,1.49,8.68,442.0,-75.25,18.5,0.5,5.25,10.37,448.75,,408.56,23.25,,469.68,,-8.07,9.49,-1.05,-0.03,,,,3.75,-8.89,427.06,58.38,46.99,470.18,1.49,,,475.5,1.49,390.75,32.75,397.8,476.5,-2.12,,46.85,408.56,55.35,,386.34,,,45.73,-0.12,10.37,386.34,476.5,388.25,33.75,258.25,1.53,13.72,802.92,1.01,281.0,-0.01,42.21,0.2,0.61,368.05,0.92,65.12,7.61
84,2020-12-24,,,,,,,,,-3.34,280.5,89.33,259.0,46.56,438.74,53.89,1.52,17.5,46.0,-4.11,,429.23,-1.0,46.18,48.53,,46.95,50.29,455.66,-0.12,6.16,47.08,-4.11,,446.41,,-17.75,455.66,0.5,-0.08,58.0,-0.05,1.51,8.45,442.5,-72.16,18.25,0.5,5.11,9.79,445.91,,410.98,21.75,,470.77,,-8.08,8.92,-1.05,-0.03,,,,3.61,-8.98,429.23,58.0,47.08,471.27,1.49,,,472.41,1.49,389.5,32.5,399.73,473.41,-2.06,,46.95,410.98,55.39,,388.77,,,46.0,-0.12,9.79,388.77,473.41,387.0,33.5,259.0,1.53,13.49,802.7,0.98,281.5,-0.01,42.81,0.2,0.61,369.03,0.92,63.78,7.55
85,2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2020-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2020-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2020-12-28,,,,,,,,,-3.31,277.75,89.58,255.75,46.15,441.24,53.46,1.51,17.5,45.51,-4.2,,424.88,-1.0,45.69,48.09,,46.58,49.89,457.91,-0.12,6.12,46.71,-4.2,,448.91,,-17.75,457.91,0.56,-0.08,58.19,-0.05,1.52,8.39,438.75,-78.41,18.25,0.35,5.07,10.47,448.41,,406.63,22.75,,467.12,,-8.2,9.51,-1.19,-0.03,,,,3.57,-9.05,424.88,58.19,46.71,467.62,1.48,,,474.66,1.48,386.75,32.25,396.97,475.66,-2.15,,46.58,406.63,54.96,,384.42,,,45.51,-0.12,10.47,384.42,475.66,384.25,33.25,255.75,1.52,13.43,796.09,1.01,278.75,-0.01,42.34,0.3,0.61,366.03,0.92,64.49,7.51
89,2020-12-29,,,,,,,,,-3.33,279.5,90.25,258.0,46.4,440.24,53.82,1.52,17.5,45.8,-4.21,,427.65,-1.0,45.97,48.41,,46.85,50.18,457.16,-0.11,6.19,46.98,-4.21,,447.66,,-17.75,457.16,0.4,-0.08,58.06,-0.05,1.54,8.59,440.75,-74.66,18.5,0.36,5.14,10.09,447.16,,409.15,23.0,,469.37,,-8.21,9.07,-1.19,-0.03,,,,3.64,-9.01,427.65,58.06,46.98,469.87,1.49,,,473.91,1.49,389.75,32.5,400.17,474.91,-2.13,,46.85,409.15,55.32,,386.93,,,45.8,-0.12,10.09,386.93,474.91,387.25,33.5,258.0,1.53,13.63,799.84,1.0,280.5,-0.01,42.67,0.3,0.6,367.82,0.92,64.22,7.49
90,2020-12-30,,,,,,,,,-3.35,282.0,89.08,260.75,46.45,440.24,54.41,1.52,17.25,46.22,-3.85,,431.43,-1.0,46.4,48.52,,46.9,50.25,456.66,-0.12,6.72,47.04,-3.85,,447.66,,-17.75,456.66,0.6,-0.08,58.2,-0.05,1.56,8.66,442.5,-73.41,18.5,0.29,5.67,9.96,446.91,,412.93,23.75,,474.01,,-7.96,9.14,-1.02,-0.03,,,,4.17,-8.65,431.43,58.2,47.04,474.51,1.51,,,473.41,1.51,391.5,32.25,442.09,474.41,-1.77,,46.9,412.93,55.91,,390.72,,,46.22,-0.12,9.96,390.72,474.41,389.0,33.25,260.75,1.53,13.7,818.8,1.01,283.0,-0.01,43.1,0.3,0.6,370.7,0.94,65.08,7.98
91,2020-12-31,,,,,,,,,-3.33,281.5,88.5,259.5,46.36,437.24,54.34,1.52,18.0,46.54,-3.45,,434.03,-1.0,46.72,48.52,,46.84,50.17,453.66,-0.13,6.72,47.0,-3.45,,444.66,,-17.75,453.66,0.69,-0.08,57.89,-0.05,1.59,8.56,441.75,-73.91,18.25,0.29,5.67,9.66,444.16,,415.78,26.75,,472.49,,-8.01,9.21,-0.93,-0.03,,,,4.17,-8.74,434.03,57.89,47.0,472.99,1.51,,,470.41,1.51,391.0,32.25,442.87,471.41,-1.4,,46.84,415.78,55.84,,393.56,,,46.54,-0.12,9.66,393.56,471.41,388.5,33.25,259.5,1.53,13.6,828.94,1.0,282.5,-0.01,42.93,0.3,0.6,370.22,1.02,60.71,7.87
92,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2021-01-04,,,,,,,,,-3.29,278.5,88.53,255.75,45.98,436.74,53.41,1.5,19.0,45.83,-3.72,,428.94,-1.0,46.0,48.05,,46.43,49.72,453.0,-0.11,6.24,46.57,-3.72,,444.0,,-17.75,453.0,0.46,-0.08,57.73,-0.04,1.59,8.33,436.25,-74.3,19.5,0.28,5.19,10.02,443.5,,409.44,22.97,,465.82,,-8.02,9.21,-0.99,-0.03,,,,3.69,-8.9,428.94,57.73,46.57,466.32,1.49,,,469.75,1.49,386.17,32.25,439.58,470.75,-1.52,,46.43,409.44,54.91,,387.22,,,45.83,-0.12,10.02,387.22,470.75,385.92,33.25,255.75,1.51,13.37,826.29,1.0,279.5,-0.01,42.32,0.3,0.6,366.03,1.0,60.38,7.52
96,2021-01-05,,,,,,,,,-3.38,292.25,88.33,269.5,46.9,448.49,55.53,1.55,18.0,47.99,-3.59,,440.88,-1.0,47.37,49.41,,47.59,50.97,464.25,-0.11,7.11,47.81,-3.59,,455.75,,-17.75,464.25,1.17,-0.08,59.28,-0.04,1.6,9.12,449.25,-71.25,19.25,0.26,6.06,10.2,454.25,,421.63,22.5,,480.36,,-7.34,9.51,-1.03,-0.03,,,,4.56,-7.88,440.88,59.28,47.81,481.61,1.54,,,481.0,1.54,400.5,31.75,411.13,482.0,-1.43,,47.59,421.63,57.03,,399.41,,,47.99,-0.12,10.2,399.41,482.0,396.25,32.75,269.5,1.56,14.16,848.34,1.02,293.25,-0.01,44.59,0.3,0.6,377.42,1.05,62.73,8.02
97,2021-01-06,,,,,,,,,-3.35,291.75,83.08,270.0,46.73,449.66,55.55,1.55,18.42,47.76,-3.74,,439.12,-1.0,47.15,49.26,,47.53,50.88,465.09,-0.11,7.22,47.81,-3.74,,456.34,,-17.75,465.09,1.13,-0.08,59.25,-0.05,1.58,9.1,447.75,-73.34,19.5,0.15,6.17,10.39,455.09,,419.62,23.25,,482.49,,-7.0,9.57,-1.13,-0.03,,,,4.67,-7.62,439.12,59.25,47.81,483.74,1.55,,,481.84,1.55,399.75,32.0,402.74,482.84,-1.55,,47.53,419.62,57.05,,397.4,,,47.76,-0.13,10.39,397.4,482.84,395.5,33.0,270.0,1.55,14.35,855.39,1.21,292.75,-0.01,44.77,0.35,0.6,377.78,1.08,65.87,8.24
98,2021-01-07,,,,,,,,,-3.38,292.5,81.58,270.75,47.04,449.91,55.69,1.56,17.75,48.13,-3.65,,441.64,-1.0,47.52,49.32,,47.78,51.17,465.84,-0.11,7.08,48.03,-3.65,,456.59,,-17.5,465.84,0.94,-0.11,59.38,-0.05,1.58,8.93,448.75,-74.09,18.75,0.25,6.03,10.17,455.59,,422.89,24.75,,483.32,,-6.88,9.41,-1.04,-0.03,,,,4.53,-7.81,441.64,59.38,48.03,484.57,1.55,,,482.34,1.55,400.75,32.25,402.19,483.34,-1.54,,47.78,422.89,57.19,,400.68,,,48.13,-0.13,10.17,400.68,483.34,396.5,33.25,270.75,1.56,14.18,857.16,1.25,293.25,-0.01,44.85,0.35,0.6,380.06,1.04,63.43,8.06
99,2021-01-08,,,,,,,,,-3.51,301.75,84.67,277.75,47.73,455.75,57.22,1.58,17.75,49.62,-3.09,,454.37,-1.0,49.0,50.26,,48.58,52.09,471.84,-0.12,7.67,48.87,-3.09,,462.34,,-17.5,471.84,1.09,-0.11,60.16,-0.05,1.6,8.99,458.0,-67.34,18.25,0.3,6.62,10.01,461.34,,436.12,22.0,,494.37,,-6.67,9.26,-1.03,-0.03,,,,5.12,-7.66,454.37,60.16,48.87,495.62,1.58,,,488.34,1.58,410.5,32.5,399.34,489.34,-1.04,,48.58,436.12,58.72,,413.9,,,49.62,-0.13,10.01,413.9,489.34,406.25,33.5,277.75,1.58,14.24,865.75,1.14,301.0,-0.01,45.94,0.35,0.6,391.05,1.02,61.25,8.45
100,2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2021-01-11,,,,,,,,,-3.41,299.5,86.08,276.5,47.95,457.0,56.77,1.57,16.92,49.31,-3.49,,451.87,-1.0,48.69,50.4,,48.77,52.18,472.34,-0.12,7.29,49.06,-3.49,,463.34,,-17.5,472.34,0.83,-0.1,60.13,-0.05,1.58,8.62,458.25,-69.84,18.5,0.15,6.09,9.98,462.09,,433.37,22.75,,491.81,,-6.97,9.14,-1.2,-0.04,,,,4.59,-7.87,451.87,60.13,49.06,493.06,1.57,,,488.84,1.57,409.75,32.0,376.51,489.84,-1.41,,48.77,433.37,58.27,,411.15,,,49.31,-0.13,9.98,411.15,489.84,404.0,33.0,276.5,1.57,13.87,852.09,1.16,298.75,-0.01,45.81,0.35,0.6,390.32,1.09,61.44,8.06
103,2021-01-12,,,,,,,,,-3.37,303.5,90.25,281.75,48.54,466.75,57.61,1.59,16.5,50.11,-3.35,,458.23,-1.0,49.49,51.08,,49.48,52.84,482.68,-0.12,7.47,49.79,-3.35,,472.68,,-17.5,482.68,1.02,-0.1,61.37,-0.05,1.65,8.76,465.0,-70.43,17.75,0.2,6.32,10.63,471.43,,440.48,21.75,,499.47,,-7.05,9.72,-1.21,-0.04,,,,4.77,-7.68,458.23,61.37,49.79,500.72,1.59,,,499.18,1.59,417.5,33.0,373.79,500.18,-1.36,,49.48,440.48,59.16,,418.26,,,50.11,-0.13,10.63,418.26,500.18,411.75,34.0,281.75,1.59,14.01,849.0,0.99,302.75,-0.01,46.66,0.4,0.6,396.75,1.0,61.99,8.32
104,2021-01-13,,,,,,,,,-3.28,304.25,90.83,282.75,48.93,466.0,57.42,1.59,16.08,49.84,-3.82,,456.08,-1.0,49.22,51.28,,49.77,53.04,481.43,-0.11,7.07,50.03,-3.82,,471.93,,-17.5,481.43,0.83,-0.09,61.08,-0.05,1.62,8.56,464.75,-71.18,18.0,0.1,5.92,10.27,470.43,,438.08,21.25,,498.59,,-7.14,9.23,-1.39,-0.04,,,,4.37,-7.9,456.08,61.08,50.03,500.34,1.59,,,497.93,1.59,415.5,32.5,378.04,498.93,-1.8,,49.77,438.08,58.97,,415.86,,,49.84,-0.13,10.27,415.86,498.93,410.5,33.5,282.75,1.59,13.81,845.47,0.94,303.5,,46.65,0.35,0.6,395.61,0.95,63.52,8.01
105,2021-01-14,,,,,,,,,-3.32,306.5,92.08,285.0,49.1,465.0,58.09,1.61,16.67,50.33,-3.59,,460.23,-1.0,49.72,51.54,,49.98,53.3,480.34,-0.12,7.48,50.27,-3.59,,471.34,,-17.5,480.34,0.75,-0.1,60.92,-0.05,1.61,8.83,468.0,-67.84,17.75,0.07,6.33,9.87,470.09,,442.48,19.5,,502.85,,-7.07,8.78,-1.48,-0.04,,,,4.78,-7.78,460.23,60.92,50.27,504.6,1.6,,,496.84,1.6,416.5,32.0,375.07,497.84,-1.59,,49.98,442.48,59.64,,420.26,,,50.33,-0.13,9.87,420.26,497.84,410.5,33.0,285.0,1.61,14.29,852.31,0.93,305.75,,47.03,0.4,0.59,396.96,0.95,63.37,8.26
106,2021-01-15,,,,,,,,,-3.23,299.0,92.17,278.0,48.62,459.25,57.04,1.59,16.5,49.35,-3.88,,452.04,-1.0,48.74,50.83,,49.38,52.62,475.59,-0.11,7.12,49.61,-3.88,,465.84,,-17.5,475.59,0.41,-0.11,60.16,-0.05,1.61,8.59,461.0,-71.09,18.25,0.16,5.97,9.96,464.34,,433.79,21.0,,495.79,,-7.3,8.72,-1.46,-0.04,,,,4.42,-8.22,452.04,60.16,49.61,497.54,1.59,,,492.09,1.59,409.0,33.0,363.77,493.09,-1.82,,49.38,433.79,58.59,,411.57,,,49.35,-0.13,9.96,411.57,493.09,403.75,34.0,278.0,1.59,14.05,834.23,1.06,298.25,,45.9,0.3,0.59,389.19,1.0,65.01,8.1
107,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2021-01-18,,,,,,,,,-3.39,297.0,93.08,275.75,48.13,459.75,56.56,1.58,16.5,49.08,-3.76,,449.32,-1.0,48.46,50.47,,48.84,52.23,475.59,-0.1,7.03,49.06,-3.76,,466.34,,-17.25,475.59,0.44,-0.1,60.11,-0.05,1.61,8.56,458.75,-74.09,18.0,0.16,5.93,10.32,464.84,,431.32,23.0,,492.2,,-7.24,9.04,-1.58,-0.04,,,,4.33,-8.18,449.32,60.11,49.06,493.95,1.57,,,491.84,1.57,408.5,32.25,357.55,492.84,-1.74,,48.84,431.32,58.16,,409.1,,,49.08,-0.13,10.32,409.1,492.84,404.5,33.25,275.75,1.58,14.02,834.23,1.09,296.25,,45.54,0.3,0.58,386.69,1.0,63.88,8.06
110,2021-01-19,,,,,,,,,-3.37,302.25,93.0,281.0,48.62,465.75,57.31,1.59,17.0,49.79,-3.66,,456.12,-1.0,49.17,51.06,,49.46,52.83,481.18,-0.12,7.23,49.72,-3.66,,471.68,,-17.25,481.18,0.98,-0.1,60.96,-0.05,1.59,8.65,463.5,-75.68,18.5,0.2,6.08,10.42,470.43,,437.62,21.5,,497.5,,-7.2,9.27,-1.49,-0.04,,,,4.48,-7.84,456.12,60.96,49.72,499.25,1.59,,,497.43,1.59,411.0,32.25,352.4,498.43,-1.58,,49.46,437.62,58.91,,415.41,,,49.79,-0.13,10.42,415.41,498.43,407.0,33.25,281.0,1.6,14.11,820.56,1.13,301.5,,46.49,0.35,0.58,391.12,1.0,63.63,8.18
111,2021-01-20,,,,,,,,,-3.27,301.5,93.33,280.25,48.54,465.84,57.4,1.6,16.67,49.48,-3.82,,453.36,-1.0,48.86,51.04,,49.42,52.68,480.68,-0.11,7.47,49.69,-3.82,,471.68,,-17.25,480.68,1.1,-0.13,61.01,-0.06,1.59,8.83,463.5,-75.43,18.5,0.25,6.32,10.5,470.18,,434.86,22.5,,496.57,,-7.1,9.48,-1.43,-0.04,,,,4.72,-7.93,453.36,61.01,49.69,498.32,1.59,,,496.93,1.59,412.25,31.75,364.03,497.93,-1.74,,49.42,434.86,59.0,,412.65,,,49.48,-0.14,10.5,412.65,497.93,410.0,32.75,280.25,1.6,14.5,820.56,1.07,300.75,,46.26,0.35,0.58,389.55,1.03,65.45,8.22
112,2021-01-21,,,,,,,,,-3.28,300.75,91.5,280.0,48.48,463.34,57.51,1.6,17.75,49.54,-3.72,,454.67,-1.0,48.92,50.87,,49.36,52.64,476.76,-0.11,7.62,49.64,-3.72,,469.01,,-17.75,476.76,1.1,-0.13,60.51,-0.06,1.62,8.74,462.75,-74.01,19.25,0.2,6.47,10.11,467.51,,435.42,23.0,,497.64,,-7.02,9.02,-1.57,-0.04,,,,4.87,-7.85,454.67,60.51,49.64,499.39,1.6,,,493.51,1.6,411.5,31.0,363.45,494.51,-1.56,,49.36,435.42,59.11,,413.21,,,49.54,-0.14,10.11,413.21,494.51,407.5,32.0,280.0,1.6,14.62,834.23,0.98,300.0,,46.29,0.35,0.58,388.94,1.03,65.97,8.39
113,2021-01-22,,,,,,,,,-3.39,297.25,89.92,276.25,47.92,458.59,56.96,1.58,17.75,49.1,-3.67,,450.98,-1.0,48.48,50.23,,48.76,52.15,470.18,-0.12,7.56,49.02,-3.67,,464.18,,-17.75,470.18,1.29,-0.13,59.84,-0.07,1.58,8.25,458.5,-73.93,19.5,0.1,6.41,9.77,462.93,,431.48,22.75,,493.64,,-7.16,8.83,-1.63,-0.04,,,,4.81,-7.99,450.98,59.84,49.02,495.39,1.58,,,486.93,1.58,406.75,29.0,372.83,487.93,-1.48,,48.76,431.48,58.56,,409.26,,,49.1,-0.15,9.77,409.26,487.93,402.75,30.0,276.25,1.58,14.34,822.54,0.99,297.0,,45.66,0.35,0.58,384.7,1.03,65.91,8.4
114,2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2021-01-25,,,,,,,,,-3.38,299.75,91.0,278.25,48.28,458.75,57.35,1.6,17.75,49.55,-3.56,,455.06,-1.0,48.94,50.59,,49.11,52.49,471.18,-0.12,7.61,49.37,-3.56,,464.68,,-17.75,471.18,1.1,-0.13,59.9,-0.07,1.61,8.52,461.5,-70.93,19.5,0.09,6.46,9.55,463.43,,435.56,21.0,,495.56,,-7.14,8.56,-1.6,-0.04,,,,4.86,-7.93,455.06,59.9,49.37,497.31,1.59,,,487.93,1.59,408.25,29.75,376.6,488.93,-1.36,,49.11,435.56,58.95,,413.34,,,49.55,-0.15,9.55,413.34,488.93,404.25,30.75,278.25,1.6,14.61,828.94,0.91,300.75,,46.07,0.35,0.58,387.69,1.05,63.75,8.29
117,2021-01-26,,,,,,,,,-3.32,298.5,91.17,277.25,48.07,459.34,57.42,1.6,18.0,49.46,-3.38,,453.94,-1.0,48.84,50.29,,48.91,52.22,470.51,-0.12,7.95,49.17,-3.38,,465.26,,-17.75,470.51,1.12,-0.13,59.8,-0.07,1.64,8.73,459.75,-73.51,19.25,-0.03,6.8,9.74,463.76,,434.69,21.5,,494.21,,-7.11,8.72,-1.75,-0.04,,,,5.2,-7.86,453.94,59.8,49.17,495.96,1.59,,,487.26,1.59,406.5,28.75,376.16,488.26,-1.22,,48.91,434.69,59.02,,412.47,,,49.46,-0.15,9.74,412.47,488.26,403.25,29.75,277.25,1.6,14.82,843.49,0.84,298.25,,45.87,0.3,0.58,386.99,1.08,64.02,8.49
118,2021-01-27,,,,,,,,,-3.22,297.5,91.42,277.25,48.34,463.25,57.3,1.6,17.75,49.53,-3.43,,454.56,-1.0,48.91,50.54,,49.12,52.34,475.51,-0.12,7.71,49.37,-3.43,,469.01,,-17.75,475.51,0.92,-0.13,60.41,-0.07,1.64,8.57,460.0,-78.26,19.25,,6.56,10.25,467.76,,435.31,22.25,,494.31,,-7.16,9.22,-1.67,-0.04,,,,4.96,-7.98,454.56,60.41,49.37,496.06,1.59,,,492.26,1.59,406.5,29.75,380.12,493.26,-1.27,,49.12,435.31,58.9,,413.09,,,49.53,-0.15,10.25,413.09,493.26,403.25,30.75,277.25,1.6,14.87,853.85,0.76,297.5,,45.86,0.25,0.58,385.7,1.12,63.5,8.38
119,2021-01-28,,,,,,,,,-3.17,294.25,91.75,274.0,47.96,457.0,56.65,1.59,17.25,49.02,-3.45,,449.28,-1.0,48.4,49.91,,48.68,51.85,470.01,-0.11,7.55,48.92,-3.45,,463.01,,-17.75,470.01,0.8,-0.13,59.56,-0.07,1.62,8.64,455.75,-75.26,18.5,-0.05,6.4,10.05,461.51,,430.78,23.5,,490.89,,-7.14,8.86,-1.68,-0.04,,,,4.8,-7.92,449.28,59.56,48.92,492.39,1.58,,,486.76,1.58,404.5,30.5,370.74,487.76,-1.37,,48.68,430.78,58.25,,408.56,,,49.02,-0.15,10.05,408.56,487.76,401.25,31.5,274.0,1.59,14.94,851.65,0.72,294.0,,45.43,0.25,0.58,383.55,1.16,63.61,8.34
